class,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle
bad_form,176.31854157808246,177.4178700898883,149.04800245785026,160.3509072075525
bad_form,175.014550083171,176.70979410713758,150.1466608702895,160.30940043121922
bad_form,173.8514833504265,176.90872200910147,150.4084206001048,160.7103364939442
bad_form,173.0132851481596,176.96737027633833,151.4435430337401,160.58884559700127
bad_form,173.20818517156772,177.3246316540686,151.34755393386587,160.76187019426953
bad_form,172.6458611323109,176.9233622295149,152.7243164880867,160.37988931291068
bad_form,172.6988226369728,175.96244702466663,153.7065703800335,160.7672764123342
bad_form,171.49831928563572,176.47769422320926,155.33685428523034,160.50545940006455
bad_form,171.51426618997067,176.46088953786955,155.8309536113743,160.66720897724014
bad_form,171.39623499302837,175.77679819138962,156.23278149136732,161.00548073204865
bad_form,172.15578567558697,175.52234449236357,156.26128678727696,160.80481083424908
bad_form,172.40996266553856,174.79681085864345,155.7561375896934,160.861065036213
bad_form,172.4102847782915,175.25705076459977,155.58605361489688,160.2652551456656
bad_form,172.4218522296009,175.04152716668472,155.62471125109366,159.93857922188312
bad_form,172.23766073271412,175.07895199415657,155.89759998983916,159.76519858978565
bad_form,171.84610472905155,174.84330919690152,156.031224802947,159.84993254277325
bad_form,171.46023722970386,174.6733651796305,156.52452574567167,159.75164994737364
bad_form,171.0464994069301,174.71050252218015,156.73565295520476,159.86373441141342
bad_form,170.64908173919866,174.30493376367815,156.85088155601608,159.83010812631983
bad_form,169.9559765510531,174.44041916051316,156.67905211107245,159.710591334339
bad_form,169.32336726458118,174.9744874033384,156.66709356004148,159.34732617613344
bad_form,169.8959994377434,175.3029206801171,156.36670527026507,158.96209072980486
bad_form,170.95528138763868,175.964812684425,156.3330288104348,158.08684633309372
bad_form,171.09387384143935,176.56408172350604,156.85708862431807,156.99439629303433
bad_form,171.24005510433412,176.38141755371387,157.73146442923274,157.51172448506776
bad_form,172.13393442167737,176.52250237578028,158.22846657890724,157.97561410059282
bad_form,174.32890725690476,177.01349824837433,157.75635614182974,157.79826380576438
bad_form,179.40064804235894,178.55127489245015,155.70030393431756,157.12365034597536
bad_form,176.1981892958538,179.72421000217815,153.44466442584675,156.31728518409693
bad_form,172.00476137069342,176.35123482837867,151.61247231005854,154.46279082248975
bad_form,169.11964111496042,171.7862265290251,150.84004142311053,150.7884804677013
bad_form,164.40862498948889,163.92152333563567,148.03197381718113,146.0331070548824
bad_form,160.94492258196274,158.60240827377822,145.982283874398,142.7304911522153
bad_form,160.1527306255743,152.80232889686425,144.86108057573838,139.39548792718733
bad_form,159.10045993970962,150.76478523064912,144.22443986881896,137.83763567265143
bad_form,158.2968312975049,149.39068395914666,142.87094927335653,136.54536867992257
bad_form,156.303903203934,148.22541318159773,140.67366420763133,135.29536159008254
bad_form,153.76788691671663,148.21608595703646,137.42861773341943,134.71795392188253
bad_form,153.43959444104019,148.14141857893077,136.2589359106775,133.48585094776416
bad_form,152.6169449748866,147.31162580802314,134.53357448517306,132.95935937001948
bad_form,152.22073217625487,144.64852172522384,133.13544351393895,132.0529584844416
bad_form,150.62354725479304,141.39740025699888,130.64066705650725,129.95334389095422
bad_form,148.55216470446393,137.99059333250128,128.21049254361574,127.60568967418806
bad_form,147.17116826233686,134.19308767811364,125.98420878407782,125.1771020418908
bad_form,146.0070099747653,130.7501504567516,124.2638293413611,123.92186510175969
bad_form,145.6642847091264,129.03153968685157,123.7763559314554,123.53128276160865
bad_form,144.63374199365308,128.66756900963114,122.52656283647933,123.4845953505735
bad_form,144.2656805564003,128.30783847941265,122.30836120960225,123.8361723328893
bad_form,144.09021364224722,128.62968779331223,122.76098421078164,124.99089720251277
bad_form,144.3452954263568,128.40378894632087,123.45019832270923,125.0722195118282
bad_form,144.29447007372823,127.77892862074222,124.27387869563202,125.88468617720798
bad_form,144.11050157314494,127.6055542491195,124.75512994858104,125.81559382460878
bad_form,144.1070972311999,127.03520327495815,124.55397232555922,125.8028852121742
bad_form,144.6244675752388,127.91961272620271,125.31094257475856,126.55534876516634
bad_form,146.0735433675964,129.21105853814146,126.80670827339965,128.07671739364193
bad_form,147.77535137182355,130.45566054099328,128.72098048367198,129.30186939126557
bad_form,149.18479573068754,131.48019518059647,130.2017010770756,131.24729368334422
bad_form,150.16533451056114,132.87258157290634,130.85083343151106,132.89036809127853
bad_form,151.96358311051333,134.44467188005606,132.79258721600368,134.76825664269472
bad_form,153.3570868992981,136.65343475555906,133.3834164591294,136.83091381852563
bad_form,156.13573349513808,138.95271480156202,134.24700315841324,138.76328975333203
bad_form,157.72024236359533,144.23598985062227,135.8474203302346,140.78469459936866
bad_form,161.43189822717594,149.8013486434128,137.82025942570274,143.13186984324233
bad_form,165.42408832094608,154.84983991901294,140.41942955056098,144.70024924771928
bad_form,169.95098313189263,160.94989945206635,143.74377313695615,147.59950775790537
bad_form,173.70643443111362,163.67767836573267,146.70148263870755,149.69822196327328
bad_form,177.77897314386246,169.69653286930026,149.10524689924097,152.5329662881625
bad_form,179.201756645042,174.89387333668014,150.8059314836284,155.0936459085579
bad_form,176.9393537785602,179.1613050226448,152.3021771513526,157.34014471824207
bad_form,176.02760078431078,174.37676287437628,153.02881809615735,159.75603932534446
bad_form,176.60453187508713,171.23631336601323,153.33602970563302,161.74728199696236
bad_form,177.27397363091944,169.02575482143092,153.92586495302612,162.89369554609058
bad_form,177.89314762595112,168.20966841704868,153.9256024012677,163.7624738086703
bad_form,177.82291891482697,168.91305949624405,153.91495552910442,163.34839765464787
bad_form,177.9620539443114,170.22979032123973,153.74413001659838,162.67034598260133
bad_form,177.85279520303038,171.42630278402444,153.81681332651658,162.2231760780462
bad_form,177.3312772647704,172.0727952267666,153.69243063585597,162.01586788973194
bad_form,177.11393460252623,172.29266262554324,153.52282859031962,161.91318250648155
bad_form,176.837152270813,172.5279449626614,153.42654267005864,161.93535119496735
bad_form,176.61632053387774,172.5968671584281,153.32791866996834,161.8186539487393
bad_form,176.16754134962355,172.48316299348156,153.37281760598415,161.81666247468675
bad_form,176.25578133085145,172.49101091284382,153.30833993880535,161.80065701808257
bad_form,175.8393862664769,172.85408354044102,153.57587595095922,161.41857405622383
bad_form,175.3690460395199,173.15330387312267,153.652251621737,161.06832808991297
bad_form,175.19208480940534,173.33413887332,153.3823453559876,160.77859704988091
bad_form,174.64750223454882,173.80304956564336,153.463996371688,159.8318990251355
bad_form,174.2178972079148,174.4287329863615,154.20069385260229,158.9601147770909
bad_form,174.06775592753954,174.72576638551115,154.76054219630012,158.49911699908233
bad_form,174.20906898532462,174.9677306609107,155.21159394566484,158.89058876912017
bad_form,175.52173309616813,175.6652877806631,155.459414999782,158.0846600981549
bad_form,177.5524963105219,176.86723421164015,155.30934500514013,157.35885642558608
bad_form,179.75858892649714,179.20609201633792,154.3600060211489,155.65213465908298
bad_form,173.68692547240795,176.842240697455,151.4031016543307,153.77443280988254
bad_form,168.19186553454492,172.10949427377662,149.98746234119665,151.18009048419387
bad_form,163.54806372352306,166.63540160889673,147.32850538102684,148.30750042459377
bad_form,159.63542041850033,161.9177148650457,144.55361378843634,145.54477452390657
bad_form,156.53244631281163,158.51910989052598,141.58671704322597,143.05859951397738
bad_form,154.58870949277315,156.36607341886472,139.8117188918325,140.96836022659696
bad_form,153.68505423220168,155.1389288178365,138.4131979474901,139.1256649308148
bad_form,153.50673683646716,153.6270925118962,136.9639445423616,137.09497251533693
bad_form,152.52165005831066,152.99916833030747,134.98866332549733,136.01714337905136
bad_form,150.29235833012848,152.08353815909285,132.54383406437685,134.59222840037634
bad_form,148.7900547491135,150.75126131168972,131.28415462382296,132.99658054327062
bad_form,147.9115121813123,149.7962517453343,130.4357393622599,131.81007144677878
bad_form,145.67252765295288,149.36614752486304,127.85901660767843,131.374532538409
bad_form,143.1110185316601,147.5402884268549,124.9044440279157,130.09486349447104
bad_form,140.4950622598225,145.29172863463006,122.19086197438203,127.99950055533381
bad_form,139.44448736466282,143.34025769153723,120.34826112808985,125.8497688868301
bad_form,140.8111972280492,141.3194778005108,120.34611763071203,124.55706847216905
bad_form,140.40971462497347,139.57217499339274,119.47141200246597,123.8197069719314
bad_form,140.30869414096057,138.15875035129193,118.71452236519528,122.84883335784903
bad_form,141.74057041979847,138.41638209787223,119.94984615383414,122.75217542983708
bad_form,141.65396468468117,138.00883547159114,119.30420125045238,123.41210807741987
bad_form,141.5520623786579,138.1476738254122,118.85814370387888,124.50596500701235
bad_form,141.67823235296066,137.01328770919014,118.86187185399655,124.62977231617961
bad_form,141.22977390228294,135.82518325665794,118.45088119412567,124.85217419771641
bad_form,143.1632968930545,136.5605690284576,119.95005053894002,127.27436449616678
bad_form,144.98696370008366,136.26655289504836,121.95649577882466,129.05642405787367
bad_form,147.18800543457706,136.32725154226233,124.62477493356931,130.79089871893117
bad_form,149.04048072346333,137.48198387799704,127.1587807812572,132.38204349544978
bad_form,150.69306402842275,139.0993819286166,128.64385517176657,134.89453907445937
bad_form,153.2157408536929,141.78271092454673,130.54558585573167,137.09866967819602
bad_form,154.51839140964228,144.06003228840896,131.54402193522074,138.73075634805454
bad_form,156.24791369579333,146.377676603644,133.1935849514663,140.18981831813707
bad_form,159.4409292845158,147.9677310975736,135.67756971881653,141.46165124967308
bad_form,162.33163413606766,152.5942591513808,137.04306311941534,144.33018123002486
bad_form,165.9793197329674,155.78158854819995,139.82516251796088,146.47252057336038
bad_form,168.23842287929762,161.11108272829867,141.62718418228206,149.91239681631606
bad_form,171.94624149132952,165.01580741979708,144.34926797332724,152.32392105942688
bad_form,175.83821793222543,171.26130809082917,146.95580559991728,155.04973501190048
bad_form,177.93477699115104,177.9843305507654,148.28205448829522,157.81408902099642
bad_form,179.23726136653596,174.66214449764232,150.7355827679015,160.5063387589167
bad_form,177.5266597274938,170.93832879246915,151.70643499654435,161.92466333304094
bad_form,176.61609721030618,168.94250742042752,152.84233759811178,161.95056168589974
bad_form,177.17545500641629,167.40480384631329,153.44264074896992,162.64292134369296
bad_form,176.64080757129958,167.26873728755086,154.6285723453777,162.40969735627394
bad_form,177.04970033714784,167.78764089207664,155.17913100923818,161.81804332456042
bad_form,177.52592679513944,168.78830576410866,155.33568983324622,161.18184359800213
bad_form,177.38850461540267,169.7583018467321,155.34906165819243,160.5977506223643
bad_form,177.3739637580217,170.56652219469072,155.27697540806372,160.23939041098083
bad_form,177.36198930412365,171.30730955898488,155.2849371396032,159.8095879064101
bad_form,176.44236036047693,171.61678862424728,155.33469453716796,159.7917335267682
bad_form,175.6139975996341,172.05214838773185,155.0816488786438,159.6149685952336
bad_form,175.2795319494821,173.30340685114015,154.9062222610543,159.26885088728238
bad_form,174.97779608758975,174.0025071436066,154.93168504283125,159.13810972580362
bad_form,174.79176129894793,174.7499506846621,154.78549391083126,158.86454499345564
bad_form,174.74240759335765,175.65472070862762,154.4802073957165,158.60570985369054
bad_form,174.8622245508396,177.26953144222367,154.0479346214056,157.96762637436916
bad_form,174.9741396695171,178.019827046747,154.1666809238897,157.70780140953698
bad_form,175.0687667285849,179.2403651800479,154.26471443966577,157.4848392373851
bad_form,176.00359771152537,179.95881814130558,153.34960105599487,156.93259878005597
bad_form,176.77041399136397,178.4194747880695,153.0177987912333,156.3316195783209
bad_form,178.48852064136128,178.10777054511047,152.27306889872105,156.36779245440735
bad_form,177.7009492156864,176.7363413360922,151.01872041238093,155.52071429920406
bad_form,173.21586401436474,171.89500277622142,149.31339980896752,152.85263845241522
bad_form,169.48127865365203,165.22180472555536,147.48192592922007,148.93676575670813
bad_form,166.46930975346177,161.0484086006551,144.9309587649632,146.31965479444926
bad_form,161.82649640370815,157.56137799277082,142.2369583289316,143.44848090389777
bad_form,159.75502944925194,153.7795434265426,140.07399484842773,140.5516151721277
bad_form,158.60496713893627,151.46430029163523,138.36382031731583,138.54548363994573
bad_form,157.5038690217424,149.93374985436637,136.8336672422595,136.86982295272955
bad_form,155.65073240293654,148.86513184640103,135.19222027190116,134.77888103436743
bad_form,152.89894083236848,147.41696254479106,133.34637561325056,133.03626620726283
bad_form,150.4361481173376,145.9850893172549,131.00288979790582,131.48189685517994
bad_form,148.81999792115437,144.46571253146465,129.37456591972526,129.5327989687483
bad_form,147.37853546816498,143.30238732443834,127.15807843541369,128.40567530907742
bad_form,145.38902400001135,142.20353188015363,124.99421807464414,127.29041761568593
bad_form,143.19432626455108,139.84873345016433,122.71644455412529,124.8430496437521
bad_form,140.27022757427426,137.3182186991059,120.09201411961618,121.94984842317527
bad_form,137.7738869902783,136.3144155283188,117.78392764595915,120.64823678102613
bad_form,136.09507209877043,134.63288931453567,116.01507563201636,118.8443073295702
bad_form,134.98647112107514,133.78050234716335,114.61390774592292,118.25563608147931
bad_form,133.06101139767628,132.59443225498916,113.05902607925083,116.83302105419816
bad_form,132.36549639492287,131.74970445182686,112.57979721436459,115.97925724361991
