class,left_elbow_angle,right_elbow_angle,left_back_angle,right_back_angle
good_form,82.74450229700658,60.35361149747991,175.38471738674394,168.35724439323167
good_form,83.30227285204886,62.678480632591096,176.02565802618216,168.14137412059586
good_form,88.43257939383665,69.27994895705969,176.79428524297,167.5202669528074
good_form,93.8518566872396,75.22743994533324,176.89994353285934,166.3573734175023
good_form,104.21909218041054,79.3179782217349,177.25802863653655,165.46289636180677
good_form,108.47888607682631,88.69275396243545,177.43082123198315,165.26754656327736
good_form,114.79666982679518,102.7006234528258,178.39774503828824,164.6911554629168
good_form,112.59673281706753,108.61885720443294,179.009387454834,164.8991431847938
good_form,119.40190693694115,110.96908381531918,179.7581542063417,164.81358620024966
good_form,123.82835241484452,121.18254932178502,179.48289956267928,165.32871112168806
good_form,125.23393051705122,120.74571105717573,179.1519995185216,165.49152626328842
good_form,128.49823903274202,121.9010850108666,179.23936949413275,166.04684899438774
good_form,129.22466636334585,126.8225176880952,179.26548001471267,166.34485338022435
good_form,135.57464183557175,126.06115680112909,178.90911421562117,166.80108068104818
good_form,127.9183211457765,124.31961577395464,177.9065023609418,167.61598356654895
good_form,131.93212820192312,122.8299600757892,176.739895982311,168.44849584495594
good_form,131.71742052757924,122.86360288597086,175.5437949487638,169.4331911842649
good_form,132.7303996544806,123.9318457758135,174.8533793649476,169.78278047209983
good_form,133.18756788946257,125.10337883985923,174.91079415799845,169.66617544441704
good_form,130.15139748794726,124.96000760453113,173.7065156130105,169.7996960906437
good_form,127.29213778246816,124.73921950688116,173.21104539604426,170.14076145736144
good_form,126.80976944803112,124.15590133676015,173.01044879859577,170.08103539508514
good_form,125.63290761023606,124.79352187064192,173.105965063716,169.95784920378378
good_form,126.09903870693452,124.06026076707505,173.42827859948113,170.07446258127032
good_form,126.30525674271144,123.81451201533538,173.5119233925656,170.07380816163888
good_form,127.02459827036674,123.40534108832743,173.42127633080278,170.186437471122
good_form,129.6334182031054,122.29865774747928,173.22377119691663,170.00943611976246
good_form,132.62129588930043,120.68267716195467,172.58541605112254,169.72133803473514
good_form,128.56326502465026,116.15810895813391,172.36891558423787,169.17203953624212
good_form,121.488375394196,112.1032558414047,172.49812047319506,168.70086138366133
good_form,118.6989015662734,110.33530458059528,172.59675256875425,168.44943846414333
good_form,122.96479674599667,109.31933450228482,172.6211681318113,168.12904998815702
