class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,168.68455502612701,164.71304126354764,179.76632152779897,179.45687473059164
good_form,169.14315921771671,164.4933886610738,177.99029573699443,176.32600403986584
good_form,169.33849526982075,163.89268418620446,176.79178829203477,176.27756875747724
good_form,169.7052039422349,161.47670681827887,176.9233111560594,176.92604907101034
good_form,169.39539765830347,158.5839389668331,177.02721754283652,177.11419902574886
good_form,169.15092742115306,155.3420901032701,177.17683757533993,177.55380905513354
good_form,167.5092561854054,154.9787843745316,176.94004755275657,177.3592878982104
good_form,165.90549258049438,151.8105765685657,176.32592783714412,177.18915268106852
good_form,163.13133148845455,146.60931065112052,174.06638558800591,173.8038508744521
good_form,162.03460595102237,143.2985047226086,173.17788682328435,172.9757966632654
good_form,159.8317081284453,142.19650393944505,174.2253785259166,172.33972146818252
good_form,157.27249070193704,144.41765399765626,174.43975311560666,174.30440129794943
good_form,155.08502618063017,143.33951416309213,174.9310221253715,174.86707682400979
good_form,151.33507527080428,145.84223683311666,175.33302873236667,175.19819264362224
good_form,146.83073569034144,142.0733303416347,176.3420280505314,174.41005852757218
good_form,144.94376565491223,140.19348804137087,175.2075562408551,175.0227497123283
good_form,141.3834052553543,138.41383083356902,175.8388735807229,175.36017372143326
good_form,137.7255875835346,136.57932954083847,176.37803996067197,176.40763884304803
good_form,135.8832966123706,138.46252243748665,175.3093652523953,176.3204571398981
good_form,131.6574238248779,138.7943138659946,177.54838154562447,175.4818003363917
good_form,129.37527407690703,136.51103682511985,176.13102559785435,175.06003987388524
good_form,127.06181021725456,136.7629133021051,176.57599814160614,174.0696600257873
good_form,124.23421329180724,135.0588421232302,173.52045062746396,170.1950018672785
good_form,120.88964566343444,132.47896931004627,172.36048589097433,168.33448510330544
good_form,117.97884463056806,112.73653065894035,171.34359692136047,165.75642447061517
good_form,114.59804295255068,89.73831749136122,170.16406544102665,163.4679970263282
good_form,109.91747278463333,79.7556442256108,171.07640405362838,164.2908383190608
good_form,104.00371310350482,72.45706348407316,173.03848008943757,166.02634622299806
