class,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
bad_form,0.6419030427932739,0.4182642102241516,-0.28417330980300903,0.9999201893806458,0.4571528732776642,0.4092084765434265,-0.09040937572717667,0.9997496604919434,0.7090500593185425,0.5039345622062683,-0.22144962847232819,0.9980142712593079,0.394325852394104,0.4762946367263794,-0.1157245934009552,0.9290823340415955,0.7999401688575745,0.5757955312728882,-0.3235664963722229,0.9929723739624023,0.3217751681804657,0.5216963887214661,-0.392027884721756,0.9758222699165344
bad_form,0.6423082947731018,0.4180358052253723,-0.29098233580589294,0.9999271035194397,0.45949000120162964,0.409616619348526,-0.09698549658060074,0.9997704029083252,0.7126150727272034,0.5029942393302917,-0.23434458673000336,0.9980063438415527,0.3936091363430023,0.47482678294181824,-0.10809389501810074,0.9287753701210022,0.8101297616958618,0.5750721096992493,-0.3305915296077728,0.9930608868598938,0.3194323480129242,0.5187734961509705,-0.3665359914302826,0.9755799174308777
bad_form,0.6427701115608215,0.41789576411247253,-0.3084680438041687,0.9999327063560486,0.4602033495903015,0.40992259979248047,-0.10903926193714142,0.999787449836731,0.7180641293525696,0.5020912885665894,-0.25449928641319275,0.9979705214500427,0.392843633890152,0.47422921657562256,-0.10362042486667633,0.9292349815368652,0.8264252543449402,0.5732845067977905,-0.3809201419353485,0.9929119348526001,0.3119645416736603,0.5179034471511841,-0.35780268907546997,0.9752895832061768
bad_form,0.6429859399795532,0.41778481006622314,-0.28663262724876404,0.999937891960144,0.4605977237224579,0.41003140807151794,-0.08790161460638046,0.9998036623001099,0.7297135591506958,0.5019853115081787,-0.24274981021881104,0.9979820251464844,0.3855130970478058,0.4689492881298065,-0.09955466538667679,0.9302235245704651,0.8486964106559753,0.572262704372406,-0.35271432995796204,0.9928792715072632,0.29679208993911743,0.5095187425613403,-0.35515621304512024,0.9747745990753174
bad_form,0.6432094573974609,0.41724035143852234,-0.25604942440986633,0.9999427795410156,0.4607301354408264,0.4100053608417511,-0.022077392786741257,0.99981689453125,0.7437159419059753,0.4958338737487793,-0.22477272152900696,0.998059868812561,0.37863263487815857,0.46277523040771484,0.13830342888832092,0.9296709895133972,0.871034562587738,0.5581055879592896,-0.3464519679546356,0.9927758574485779,0.27747586369514465,0.4955376982688904,0.0886225700378418,0.9738419651985168
bad_form,0.6438512206077576,0.41702327132225037,-0.23914583027362823,0.9999470710754395,0.4606839120388031,0.40962454676628113,-0.03068370185792446,0.9998287558555603,0.7582391500473022,0.48970726132392883,-0.2029014676809311,0.9981284141540527,0.3650871217250824,0.45652782917022705,0.06420968472957611,0.9321388006210327,0.8930468559265137,0.5419471859931946,-0.3442908823490143,0.9927520751953125,0.2595178484916687,0.4808848202228546,-0.09862400591373444,0.9741472005844116
bad_form,0.6454634666442871,0.41655948758125305,-0.31214138865470886,0.9999513030052185,0.4611034691333771,0.40813297033309937,0.0007130099693313241,0.9998264312744141,0.7753313779830933,0.48025718331336975,-0.32415878772735596,0.9982662796974182,0.3589489161968231,0.4463575780391693,0.30329594016075134,0.9324101209640503,0.9121440052986145,0.5179184675216675,-0.5351425409317017,0.9930629730224609,0.24697226285934448,0.46314993500709534,0.3503772020339966,0.9746624231338501
bad_form,0.6473191976547241,0.4156685471534729,-0.3862242102622986,0.99995356798172,0.4629449248313904,0.4053804576396942,-0.018591150641441345,0.9998103380203247,0.780498743057251,0.46262919902801514,-0.4509110748767853,0.9983859658241272,0.3506386876106262,0.4323192238807678,0.274346262216568,0.9353362321853638,0.9445732831954956,0.49408194422721863,-0.721761167049408,0.9930105209350586,0.233745276927948,0.43966394662857056,0.3091559410095215,0.9756088256835938
bad_form,0.6478697061538696,0.4150140583515167,-0.384069561958313,0.9999542236328125,0.4645797908306122,0.403323769569397,-0.011428987607359886,0.9997748732566833,0.7950344681739807,0.4483960270881653,-0.47934073209762573,0.998502254486084,0.34363293647766113,0.4219232499599457,0.2636159658432007,0.9389539361000061,0.9666378498077393,0.46566200256347656,-0.7336435914039612,0.9931430816650391,0.21886853873729706,0.4198971092700958,0.3060075342655182,0.9767447710037231
bad_form,0.6480609178543091,0.41439712047576904,-0.4106881022453308,0.99995356798172,0.4669143259525299,0.40171942114830017,-0.021986816078424454,0.999724805355072,0.808156430721283,0.4350387454032898,-0.5227661728858948,0.9986139535903931,0.34169384837150574,0.41056710481643677,0.27895110845565796,0.9423299431800842,0.9700366258621216,0.43186628818511963,-0.7563990354537964,0.9931035041809082,0.2181890308856964,0.39731237292289734,0.38856789469718933,0.9779714345932007
bad_form,0.6494704484939575,0.41171959042549133,-0.42442256212234497,0.9999551177024841,0.4690744876861572,0.3998282849788666,-0.04177340492606163,0.9996872544288635,0.8197266459465027,0.41615030169487,-0.5616323351860046,0.9987251162528992,0.3392859995365143,0.39539796113967896,0.22337961196899414,0.945979118347168,0.9686261415481567,0.3976336717605591,-0.7817977070808411,0.9933845400810242,0.21718008816242218,0.37072229385375977,0.31194332242012024,0.9789049029350281
bad_form,0.6512901782989502,0.40907976031303406,-0.3543645739555359,0.9999551773071289,0.4698941111564636,0.3986314535140991,-0.012896656058728695,0.9996670484542847,0.8196313977241516,0.3983202278614044,-0.47499847412109375,0.9988214373588562,0.336342990398407,0.3862549662590027,0.21073226630687714,0.9499757289886475,0.9621328711509705,0.37252676486968994,-0.6789911389350891,0.9936102628707886,0.2247277796268463,0.35183843970298767,0.2679787278175354,0.9802694916725159
bad_form,0.6542380452156067,0.40720194578170776,-0.2517882287502289,0.9999560713768005,0.4696235656738281,0.39778703451156616,0.054883938282728195,0.9996511936187744,0.8228733539581299,0.3787974417209625,-0.4653592109680176,0.9989171624183655,0.334126740694046,0.37463781237602234,0.22879736125469208,0.9541345238685608,0.9588180184364319,0.3398556113243103,-0.658871054649353,0.9940547347068787,0.22548705339431763,0.328023761510849,0.23356124758720398,0.9818397164344788
