class,left_elbow_angle,right_elbow_angle,left_shoulder_swing_angle,right_shoulder_swing_angle
good_form,73.39937291906996,100.77359149757342,25.679646727513465,29.892208457180082
good_form,78.86306154545909,103.25156466205496,25.760168522664483,29.07806138120699
good_form,79.74823354935398,107.462169928604,27.704327393977973,29.16083650143193
good_form,84.14656242052939,112.40367471887009,27.96800604790808,28.792458661820405
good_form,87.62593833350485,115.58608803583466,27.92063487070392,28.672990987887957
good_form,91.60072880518652,118.89769977493538,28.920298533015906,28.58312271944725
good_form,94.74356830747195,121.85085414250236,28.908102328734216,28.034736146245592
good_form,95.36780761438047,124.07898826765665,28.945683090950173,27.513789180965965
good_form,98.94769792722781,126.37795233078268,29.274434477667622,27.202043239055044
good_form,103.17301880622017,126.51767933011803,29.783878602776454,25.89549473149656
good_form,109.15460130373157,127.1921119776087,30.128870844765192,24.868717333093063
good_form,113.66404954785136,130.23974261938943,29.813888960263778,24.38990676759127
good_form,118.25203473165101,135.4067112515944,29.70161799484084,24.430775910821392
good_form,122.05104855247379,137.40094907665352,28.21244893317347,24.20689110811721
good_form,126.06083573687005,140.5755781206862,27.189917988427624,23.898554840254835
good_form,129.3524022278094,144.68180559063725,26.560219948654876,23.87486746547597
good_form,133.71292183302202,145.37410585858564,25.559346765484268,23.70577208407084
good_form,137.97045929930655,147.31271955360575,25.765516189792898,23.135790534392374
good_form,141.23390489781346,149.16937265434686,25.041463512896826,22.7437978980524
good_form,143.8870471811739,149.82856345689063,24.818739588367375,22.148511056372122
good_form,147.0785877276004,151.1218069999448,24.528273212907635,21.81147191807069
good_form,148.71935686290675,152.5707065210073,24.557931656808663,21.64134098160993
good_form,148.65086521496212,153.1738886273023,24.83034969911302,20.971786998848945
good_form,148.98294700343726,153.68013170998023,26.212019563155273,20.288190874073297
good_form,151.13689659049055,153.3703692441214,26.494995193818472,19.331891421050813
good_form,152.7382542224359,154.24168028298556,26.745023868687003,18.72779817644304
good_form,153.5553850460337,154.59326956717183,26.86190425703245,18.15368959453205
good_form,155.4749728196332,155.17781975164667,27.104838790095048,18.20809474497502
good_form,156.99563373526615,156.13986386002128,27.587692082441198,18.29489998542883
good_form,157.51896794577613,156.25986945052793,27.824047410588335,18.125094569809992
good_form,158.58258360019596,156.79866743895656,28.085227041267892,17.861802485979695
good_form,158.9425181642285,156.83793681136592,28.215378054957483,17.86301521609056
good_form,158.32844018572166,157.36955057160932,28.176557224271203,18.216042264312932
good_form,157.89066256922837,157.73480377854855,28.13804792573584,18.236386279611615
good_form,156.78454232906648,155.0852639641944,28.416472206422792,16.68428925559993
good_form,157.44605285821464,152.6589326409431,28.05674681134676,15.580438722592774
good_form,158.67334910764134,150.97839406561522,27.20563110109013,14.834562070839647
good_form,155.1332650806677,149.9049773139345,26.76721275044811,14.77489743908095
good_form,150.92229482295843,143.1068655367459,26.669333771146313,12.805079110217363
good_form,147.11952908469635,135.2570070514666,26.962415778704308,10.9399134662481
good_form,141.6932680459517,130.96990811139366,27.607312160998386,10.278694174707104
good_form,133.90151332836314,126.50473790373977,29.09394855643926,11.621886730745114
good_form,125.55338875790073,123.43214173288294,31.079676892919547,13.244880700790645
good_form,114.95451231775152,120.07656993464289,32.029368453362636,14.719905672464186
good_form,103.09828109103756,118.55623220080926,33.497197073213734,17.978781836162042
good_form,96.25759213889529,117.87421353553634,34.09379332237042,20.396957525441888
good_form,89.93581555522672,116.32599558613063,33.31150374447281,21.75379194750832
good_form,82.57962426528621,115.35296979408903,31.65107358618984,25.16443440958767
good_form,77.09559022989174,113.74087656500757,31.580340720111796,26.43682556090694
good_form,76.89841701172587,108.83073532525702,28.849780434440607,25.30854268031421
good_form,76.75850947228646,105.70090950124494,27.668893221254468,25.136847077298686
good_form,76.23556836703392,103.74952108524808,26.390567410159473,25.088524322205703
good_form,78.62068343566874,101.30448928828008,23.483145287037065,27.030486502450096
good_form,76.28466086648413,98.46745275150788,23.760868626258745,29.978458097522058
good_form,71.65345385617637,93.74207887552986,24.123209196447092,29.401045214886697
good_form,69.47987084872612,89.45574879581547,24.220803828027808,30.711784612573727
good_form,67.11878452083253,91.38185479668063,24.793779771412108,32.436249712450554
good_form,63.11375446114167,92.03736395016846,26.453157128682466,32.441007655984954
good_form,59.810928215599525,87.7069661294223,27.317671485423887,32.05872518225249
good_form,56.28479733814798,86.07824519390499,28.216885355755334,33.47601169967628
good_form,54.94610067006131,89.8929962736532,28.510404677977277,38.3551855913758
good_form,53.02508672742603,95.02130586810927,29.298706833967934,42.027519487093755
good_form,50.28945496478342,94.0896601142926,29.94374033991649,40.862623626977204
good_form,49.6140331510647,89.09164540313255,29.94772156266776,38.896963937737894
good_form,49.48741877269506,84.48937846911204,30.772086463255487,34.13203550765452
